INTERNSHIP_ID,TITLE,COMPANY_NAME,REQUIRED_SKILLS,DOMAIN,ELIGIBILITY,LOCATION,DURATION,STIPEND,DESCRIPTION
11,"Game Developer Intern","Ubisoft India","C++, C#, Unity, Unreal Engine, Game Development, Algorithms","Game Development","UG or PG","Pune, India","12 weeks","₹60,000/month","Work with a development team on a AAA game title. Contribute to gameplay mechanics, graphics, or tools development. Gain insight into the game development lifecycle."
12,"Backend Engineer Intern","Stripe India","Java, Spring Boot, Microservices, REST API, SQL, PostgreSQL, System Design","Backend Development","UG or PG","Bengaluru, India","12 weeks","₹80,000/month","Work on designing and building the core services that power Stripe's financial platform. Focus on scalability, reliability, and security of payment systems."
13,"UI/UX Designer Intern","Adobe India","UI/UX, Figma, Adobe XD, Canva, SASS, Material UI, Front-End Development","Design & UI/UX","UG or PG","Noida, India","12 weeks","₹60,000/month","Collaborate with product teams to design and prototype user interfaces for Adobe's creative suite. Conduct user research and usability testing to inform design decisions."
14,"DevOps Engineer Intern","IBM India","Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, CI/CD, Linux, Python",DevOps,"UG or PG","Bengaluru, India","12 weeks","₹65,000/month","Help in automating the build, test, and deployment pipelines for applications. Work with containerization technologies and cloud infrastructure."
15,"Database Administrator Intern","Oracle India","SQL, MySQL, PostgreSQL, Oracle DB, Database Management, System Design","Database Management","UG or PG","Bengaluru, India","10-12 weeks","₹55,000/month","Assist with database maintenance, performance tuning, and security. Learn about managing large-scale, enterprise-level databases."
16,"Technical Project Management Intern","JPMorgan Chase & Co. India","Agile, Scrum, Jira, Trello, Project Management, SDLC","Project Management","UG or PG","Mumbai, India","10 weeks","₹50,000/month","Support project managers in planning, executing, and tracking technical projects. Help coordinate between engineering and business teams using Agile methodologies."
17,"Network Engineer Intern","Cisco India","Computer Networks, Linux, TCP/IP, Routing, Switching, Cisco IOS","Computer Networking","UG or PG","Pune, India","12 weeks","₹60,000/month","Assist in the configuration and troubleshooting of network devices. Gain practical experience with enterprise-grade networking equipment."
18,"Quality Assurance Intern","Salesforce India","Selenium, JUnit, TestNG, Agile, REST API, JSON, QA Automation","Quality Assurance",UG,"Hyderabad, India","12 weeks","₹65,000/month","Help in creating and executing test plans for new features. Learn to write automated test scripts and report bugs in a professional environment."
19,"Full-Stack Developer Intern","HubSpot India","React, Node.js, Express, MongoDB, REST API, GraphQL, AWS, Git","Full-Stack Development","UG or PG","Gurgaon, India","10 weeks","₹68,000/month","Work on both the front-end and back-end of HubSpot's marketing and sales products. Contribute to all parts of the development lifecycle, from ideation to deployment."
20,"AI Research Intern","TCS Research","Python, PyTorch, TensorFlow, Deep Learning, Reinforcement Learning, NLP","AI Research",PG,"Bengaluru, India","12 weeks","₹70,000/month","Join a research team to explore and develop new AI algorithms. Publish research and contribute to the open-source community."
21,"Unity Developer Intern",Games24x7,"Unity, C#, Game Development, UI/UX, Game Design","Game Development",UG,"Mumbai, India","12 weeks","₹58,000/month","Assist with the creation of new tools and features for mobile gaming platforms. Work on a team to build immersive user experiences and optimize game performance."
22,"Cloud Security Intern","CrowdStrike India","Cybersecurity, Azure, Google Cloud, AWS, Python, Linux, Cryptography",Cybersecurity,"UG or PG","Bengaluru, India","12 weeks","₹70,000/month","Participate in security assessments of cloud environments. Learn to use and develop tools to detect and respond to threats in a cloud-native setting."
23,"Full-Stack Intern","Adobe India","JavaScript, React, Node.js, Express, MongoDB","Web Development",UG,"Noida, India","12 weeks","₹60,000/month","Work on developing both front-end and back-end features for new applications."
24,"Python Developer Intern","Spotify India","Python, Django, Flask, REST API, SQL","Backend Development",UG,"Bengaluru, India","10 weeks","₹65,000/month","Help build and maintain microservices and internal tools using Python."
25,"iOS Developer Intern","Apple India","Swift, Objective-C, iOS, REST API, JSON","Mobile Development",UG,"Hyderabad, India","16 weeks","₹85,000/month","Assist in developing new features for core iOS applications."
26,"Android Developer Intern","Google India","Kotlin, Java, Android, REST API, JSON","Mobile Development",UG,"Bengaluru, India","12 weeks","₹80,000/month","Work on an Android team to build and improve mobile applications."
27,"Network Security Intern","Fortinet India","Cybersecurity, Computer Networks, Linux, Python",Cybersecurity,UG,"Pune, India","10 weeks","₹55,000/month","Help analyze network traffic and investigate security incidents."
28,"ML/AI Intern","NVIDIA India","PyTorch, TensorFlow, Machine Learning, Deep Learning, Python","AI & Machine Learning",PG,"Pune, India","12 weeks","₹70,000/month","Contribute to the development of new ML models and algorithms."
29,"Data Analyst Intern","Tableau India","SQL, Tableau, Power BI, Data Science, Python","Data Analytics",UG,"Bengaluru, India","12 weeks","₹62,000/month","Work with large datasets to create dashboards and reports for business insights."
30,"Game QA Intern","Nazara Technologies","C#, Unity, TestNG, QA, Game Development","Game Development",UG,"Mumbai, India","10 weeks","₹45,000/month","Help test new game features and report bugs in a professional development environment."
31,"Back-End Developer Intern","Twitter India","Go, Rust, Microservices, REST API, Kubernetes, Docker","Backend Development",UG,"Bengaluru, India","12 weeks","₹75,000/month","Assist in building high-performance, scalable backend services."
32,"UI Designer Intern","Canva India","UI/UX, Figma, Adobe XD, Canva",Design,UG,Remote,"8 weeks","₹50,000/month","Contribute to the design of new templates and features for the Canva platform."
33,"Cloud Engineering Intern","Google Cloud India","Google Cloud, Docker, Kubernetes, Python, DevOps","Cloud Computing",UG,"Bengaluru, India","12 weeks","₹78,000/month","Work on cloud infrastructure projects and automation tools."
34,"Full-Stack Intern","Stripe India","JavaScript, Node.js, React, SQL, Express","Web Development",UG,"Bengaluru, India","12 weeks","₹80,000/month","Build and maintain features for the Stripe payment platform."
35,"Data Science Intern","IBM India","Python, R, Data Science, Machine Learning, Big Data","Data Science",PG,"Bengaluru, India","12 weeks","₹65,000/month","Work with a team of data scientists on research and development projects."
36,"System Design Intern","Netflix India","System Design, Microservices, Java, Spring Boot, AWS","System Architecture",PG,"Mumbai, India","12 weeks","₹90,000/month","Help design and analyze the architecture of distributed systems."
37,"Cybersecurity Intern","Amazon India","Cybersecurity, Linux, Penetration Testing, Python",Cybersecurity,UG,"Hyderabad, India","12 weeks","₹75,000/month","Assist in security assessments and vulnerability management."
38,"Game Designer Intern","Electronic Arts (EA) India","Unreal Engine, C++, Game Development, UI/UX","Game Development",UG,"Hyderabad, India","12 weeks","₹50,000/month","Work with a design team on new gameplay mechanics and level design for a title."
39,"Project Manager Intern","Google India","Agile, Scrum, Jira, Project Management","Project Management",UG,"Bengaluru, India","12 weeks","₹65,000/month","Support product managers in the planning and execution of projects."
40,"Web Development Intern","Shopify India","Ruby, Rails, JavaScript, HTML, CSS","Web Development",UG,"Gurgaon, India","12 weeks","₹60,000/month","Contribute to the development of new features for the Shopify platform."
41,"Data Engineer Intern","Databricks India","Spark, Hadoop, Big Data, SQL, Python","Big Data",PG,"Bengaluru, India","12 weeks","₹78,000/month","Assist in building and optimizing data pipelines for large-scale data processing."
42,"Ethical Hacking Intern","Kaspersky India","Ethical Hacking, Penetration Testing, Cybersecurity, C++",Cybersecurity,UG,"Mumbai, India","12 weeks","₹50,000/month","Conduct penetration tests on internal systems and report vulnerabilities."
43,"Front-End Engineer Intern","Shopify India","React, JavaScript, HTML, CSS, Next.js, GraphQL","Web Development","UG or PG",Remote,"12 weeks","₹60,000/month","Develop and improve user interfaces for Shopify's e-commerce platform. Collaborate with a team to implement new features and enhance user experience."
44,"DevOps Intern","Red Hat India","Linux, Docker, Kubernetes, Ansible, Terraform, CI/CD, Python",DevOps,UG,"Pune, India","12 weeks","₹68,000/month","Help automate and manage the deployment of open-source software. Work on infrastructure as code and CI/CD pipelines."
45,"Android Developer Intern","Netflix India","Kotlin, Java, Android, REST API, Microservices, System Design","Mobile Development","UG or PG","Mumbai, India","12 weeks","₹85,000/month","Work on new features for the Netflix Android app, focusing on performance, scalability, and user experience."
46,"NLP Intern","TCS Research","Python, NLP, Deep Learning, PyTorch, TensorFlow, Machine Learning","AI Research",PG,"Bengaluru, India","12 weeks","₹75,000/month","Join a research team to work on cutting-edge natural language processing models and applications."
47,"Game Programmer Intern","Zynga India","C++, C#, Game Development, Algorithms, Data Structures","Game Development",UG,"Bengaluru, India","12 weeks","₹60,000/month","Assist a development team with programming new game mechanics, optimizing engine performance, and creating tools."
48,"Web3 Engineer Intern","Coinbase India","Web3, Solidity, Blockchain, Rust, Go, Microservices","Blockchain & Web3",UG,Remote,"12 weeks","₹75,000/month","Contribute to the development of decentralized applications and infrastructure on the blockchain."
49,"Data Engineer Intern","Airbnb India","Python, SQL, Spark, Hadoop, Big Data, AWS","Big Data","UG or PG","Gurgaon, India","12 weeks","₹72,000/month","Build and maintain data pipelines and ETL processes. Work with large-scale data to enable business intelligence and analytics."
50,"Backend Developer Intern","Uber India","Python, Java, Go, Microservices, REST API, SQL, PostgreSQL","Backend Development",UG,"Hyderabad, India","12 weeks","₹70,000/month","Develop and maintain scalable backend services for Uber's various platforms. Focus on reliability and performance."
51,"Information Security Intern","Apple India","Cybersecurity, Python, Swift, Cryptography, Penetration Testing",Cybersecurity,UG,"Hyderabad, India","16 weeks","₹85,000/month","Assist the security team in identifying and mitigating security vulnerabilities in Apple's products and services."
52,"Data Scientist Intern","LinkedIn India","Python, R, SQL, Machine Learning, Data Science, NLP, A/B Testing","Data Science & AI",PG,"Bengaluru, India","12 weeks","₹78,000/month","Work on data-driven projects to improve LinkedIn's products. Use machine learning to understand user behavior and make recommendations."
53,"Infrastructure Intern","Stripe India","Go, Rust, Microservices, Docker, Kubernetes, AWS, CI/CD",Infrastructure,UG,Remote,"12 weeks","₹80,000/month","Help build and maintain the core infrastructure that powers Stripe's financial services. Focus on reliability and scalability."
54,"AI/ML Intern","Google India","TensorFlow, PyTorch, Python, Deep Learning, Machine Learning, NLP","AI & Machine Learning",PG,"Bengaluru, India","12 weeks","₹85,000/month","Contribute to the development of machine learning models for Google's search, ads, or cloud products."
55,"UX Designer Intern","Microsoft India","UI/UX, Figma, Adobe XD, User Research, UI Design",UI/UX,"UG or PG","Hyderabad, India","12 weeks","₹65,000/month","Collaborate with product teams to design user experiences for Microsoft applications. Conduct user interviews and create prototypes."
56,"Frontend Developer Intern","Pinterest India","JavaScript, React, Redux, HTML, CSS, SASS","Web Development",UG,"Bengaluru, India","12 weeks","₹68,000/month","Work on the front-end of Pinterest's platform. Implement new features and optimize the user interface for performance and responsiveness."
57,"DevOps Intern","Netflix India","AWS, Docker, Kubernetes, Python, Jenkins, CI/CD, Microservices",DevOps,UG,"Mumbai, India","12 weeks","₹90,000/month","Assist in automating the deployment and management of microservices. Work on maintaining and scaling the Netflix infrastructure."
58,"Backend Intern","Twitter India","Java, Spring Boot, Go, REST API, SQL, PostgreSQL","Backend Development",UG,"Bengaluru, India","12 weeks","₹75,000/month","Help build and maintain the backend services that handle Twitter's massive scale. Focus on performance and reliability."
59,"Data Analyst Intern","Meta India","SQL, Python, Pandas, Tableau, Power BI, Data Science","Data Analytics",UG,"Gurgaon, India","12 weeks","₹75,000/month","Analyze product data to identify trends and user behavior. Create dashboards and reports to inform business decisions."
60,"Computer Vision Intern","Samsung R&D India","Python, C++, Computer Vision, Deep Learning, TensorFlow, PyTorch","Artificial Intelligence",PG,"Bengaluru, India","12 weeks","₹80,000/month","Contribute to the research and development of computer vision algorithms for self-driving technology."
61,"Full-Stack Engineer Intern","Salesforce India","Node.js, Express, React, SQL, GraphQL, REST API","Full-Stack Development","UG or PG","Hyderabad, India","12 weeks","₹65,000/month","Work on a team to develop new features for the Salesforce platform. Contribute to both front-end and back-end components."
62,"SRE Intern","Google India","Python, Go, Linux, Docker, Kubernetes, System Design, CI/CD","Site Reliability Engineering",UG,"Bengaluru, India","12 weeks","₹82,000/month","Assist in maintaining the reliability and performance of Google's production systems. Focus on automation, monitoring, and incident response."
63,"Web Developer Intern","Twilio India","Python, Node.js, Express, REST API, WebSockets, HTML, CSS","Web Development",UG,"Pune, India","12 weeks","₹65,000/month","Work on the developer-facing platform, building tools and features for Twilio's communication APIs."
64,"Game Developer Intern","Rockstar Games India","C++, C#, Game Development, Algorithms, Unity, Unreal Engine","Game Development",UG,"Bengaluru, India","12 weeks","₹65,000/month","Join a development team to work on a major game title. Contribute to gameplay, systems, or tools."
65,"Data Scientist Intern","Nvidia India","Python, R, Data Science, Machine Learning, Deep Learning, Pandas","Data Science",PG,"Pune, India","12 weeks","₹75,000/month","Work on data analysis projects to optimize business processes and product performance."
66,"Cybersecurity Intern","CrowdStrike India","Cybersecurity, Python, Linux, Penetration Testing, Cryptography",Cybersecurity,UG,"Bengaluru, India","12 weeks","₹70,000/month","Assist the security team in threat hunting, vulnerability analysis, and incident response."
67,"Frontend Developer Intern","Amazon India","React, JavaScript, HTML, CSS, REST API, Git, AWS","Web Development","UG or PG","Hyderabad, India","12 weeks","₹72,000/month","Work on the front-end of one of Amazon's e-commerce or cloud-based platforms. Focus on creating engaging and high-performance user interfaces."
68,"DevOps Engineer Intern","Splunk India","Docker, Kubernetes, AWS, Linux, Python, CI/CD, Jenkins",DevOps,UG,"Pune, India","12 weeks","₹68,000/month","Assist in automating the deployment and management of Splunk's software solutions. Work on infrastructure as code and CI/CD pipelines."
69,"Data Analyst Intern","Stripe India","SQL, Python, Pandas, Data Science, Tableau, PostgreSQL","Data Analytics",UG,"Bengaluru, India","12 weeks","₹75,000/month","Analyze payment and transaction data to provide insights to product and business teams. Create and maintain data dashboards."
70,"Machine Learning Engineer Intern","Apple India","Python, PyTorch, TensorFlow, Machine Learning, Deep Learning","AI & Machine Learning",PG,"Hyderabad, India","16 weeks","₹85,000/month","Contribute to the research and development of machine learning models for Apple's products and services."
71,"Backend Developer Intern","Stripe India","Python, Go, Django, Flask, REST API, SQL","Backend Development",UG,"Bengaluru, India","12 weeks","₹80,000/month","Build and maintain backend services for Stripe's financial platform. Focus on scalability and reliability."
72,"AI Research Intern","Microsoft India","Python, PyTorch, TensorFlow, Deep Learning, NLP, Computer Vision","AI Research",PG,"Bengaluru, India","12 weeks","₹80,000/month","Join a research team to explore and develop new AI algorithms. Work on projects in natural language processing or computer vision."
73,"Full-Stack Engineer Intern","HubSpot India","React, Node.js, Express, MongoDB, GraphQL, AWS, Git","Full-Stack Development","UG or PG","Gurgaon, India","10 weeks","₹68,000/month","Work on both the front-end and back-end of HubSpot's products. Contribute to the entire software development lifecycle."
74,"Cybersecurity Intern","Palo Alto Networks India","Cybersecurity, Ethical Hacking, Penetration Testing, Python, Linux",Cybersecurity,UG,"Bengaluru, India","12 weeks","₹65,000/month","Participate in security assessments and help in analyzing security logs."
75,"Game Developer Intern","Bungie India","C++, C#, Unity, Unreal Engine, Game Development, Algorithms","Game Development",UG,"Pune, India","12 weeks","₹60,000/month","Join a team to work on a major game title like Destiny. Contribute to gameplay or engine programming."
76,"Data Scientist Intern","Amazon India","Python, SQL, R, Machine Learning, Data Science, Big Data, AWS","Data Science & AI",UG,"Hyderabad, India","12 weeks","₹75,000/month","Analyze large datasets from Amazon's various business units. Build predictive models and provide insights to product teams."
77,"UI/UX Intern","Canva India","UI/UX, Figma, Adobe XD, Design, Visual Design",UI/UX,UG,Remote,"8 weeks","₹50,000/month","Contribute to the design of new features and templates for the Canva platform."
78,"DevOps Intern","Twitter India","Docker, Kubernetes, AWS, Go, CI/CD, Python, Linux",DevOps,UG,"Bengaluru, India","12 weeks","₹75,000/month","Help automate and manage the deployment of Twitter's services. Focus on improving system reliability and scalability."
79,"Full-Stack Intern","Airbnb India","JavaScript, React, Node.js, Express, MongoDB, AWS, Git","Full-Stack Development",UG,"Gurgaon, India","12 weeks","₹72,000/month","Work on both the front-end and back-end of the Airbnb platform. Contribute to new features and improvements."
80,"Cybersecurity Intern","FireEye India","Cybersecurity, Ethical Hacking, Penetration Testing, Python, Linux, Cryptography",Cybersecurity,UG,"Bengaluru, India","12 weeks","₹68,000/month","Assist in vulnerability assessments and threat analysis. Learn to use and develop security tools."
81,"AI/ML Intern","NVIDIA India","Python, PyTorch, TensorFlow, Deep Learning, Computer Vision, Machine Learning","AI & Machine Learning",PG,"Pune, India","12 weeks","₹85,000/month","Contribute to the research and development of new AI algorithms for NVIDIA's hardware."
82,"Frontend Developer Intern","Uber India","React, JavaScript, HTML, CSS, GraphQL, UI/UX, Git","Web Development",UG,"Hyderabad, India","12 weeks","₹70,000/month","Work on the user interface for Uber's various platforms. Focus on creating a seamless user experience."
83,"Game Programmer Intern","Zynga India","C++, C#, Unity, Game Development, Algorithms, Data Structures","Game Development",UG,"Bengaluru, India","12 weeks","₹55,000/month","Assist a team in developing and maintaining mobile games. Contribute to gameplay and systems programming."
84,"Data Engineer Intern","Netflix India","Spark, Hadoop, Big Data, SQL, Python, AWS","Big Data",PG,"Mumbai, India","12 weeks","₹90,000/month","Help build and maintain data pipelines for Netflix's massive data infrastructure."
85,"Backend Developer Intern","Google India","Java, Spring Boot, Microservices, REST API, SQL, PostgreSQL","Backend Development","UG or PG","Bengaluru, India","12 weeks","₹85,000/month","Work on building scalable and reliable backend services for one of Google's core products."
86,"UX Researcher Intern","Meta India","UI/UX, User Research, Figma, Adobe XD, Data Analysis",UI/UX,PG,"Gurgaon, India","12 weeks","₹75,000/month","Conduct user research to inform product design decisions. Create research plans, conduct interviews, and analyze data."
87,"DevOps Intern","Stripe India","Docker, Kubernetes, AWS, Python, Jenkins, CI/CD",DevOps,UG,"Bengaluru, India","12 weeks","₹80,000/month","Automate and manage the deployment of Stripe's infrastructure. Focus on improving reliability and scalability."
88,"AI/ML Intern","DeepMind India","Python, PyTorch, TensorFlow, Deep Learning, Reinforcement Learning","AI Research",PG,"Bengaluru, India","12 weeks","₹85,000/month","Join a research team to work on cutting-edge AI algorithms and applications."
89,"Backend Developer Intern","Salesforce India","Java, Spring Boot, REST API, SQL, Microservices, System Design","Backend Development",UG,"Hyderabad, India","12 weeks","₹65,000/month","Help build and maintain the backend services for the Salesforce platform."
90,"Cybersecurity Intern","Cisco India","Cybersecurity, Computer Networks, Linux, Python, Penetration Testing",Cybersecurity,UG,"Pune, India","12 weeks","₹60,000/month","Assist in network security assessments and vulnerability analysis. Learn about threat detection and incident response."
